STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
11TH AV,64TH ST,EB/WB,82,98,05/29/1997
SONOMA AV,DEL PASO BL,EB/WB,82,98,01/29/2003
KOKOMO DR,OTTUMWA DR,NB,82,98,10/30/2008
South Av,Branch St & May St,WB,82,98,08/01/2012
25TH ST,P ST,SB,82,99,10/19/1993
S ST,5TH ST,WB,82,99,11/14/2018
62ND ST,25TH AV,EB,82,100,09/25/2001
SILICA AV,ALBATROSS WY,EB/WB,82,103,06/20/1996
13TH ST,GAGLE WY,SB,82,103,04/19/2012
McKinley Bl,Meister Wy & Elvas Ave,EB/WB,82,106,08/02/2012
62ND ST,ELVAS AV,NB/SB,82,107,07/20/1993
ARROYO VISTA DR,GRANDSTAFF DR,NB,82,108,12/04/1997
DAYTON ST,SOUTH AV,NB/SB,82,110,03/09/2006
63RD ST,FOWLER AV,NB/SB,82,115,05/25/2004
2ND AV,34TH ST,WB,82,116,02/10/1994
FORD RD,NORWOOD AV,EB,82,119,09/27/2011
LAKE PARK DR,GLORIA DR,NB/SB,82,121,08/10/1993
SILVER LAKE DR,LAKE PARK DR,EB/WB,82,125,08/10/1993
71ST ST,14TH AV,NB/SB,82,132,08/27/1992
DEL PASO BL,DAYTON ST,EB,82,138,03/09/2006
LOTUS AV,15TH AV,NB/SB,82,161,02/05/2002
D ST,18TH ST,WB,82,188,10/20/2016
ARENA BL,INNOVATOR DR,SB,82,1790,02/24/2004
EL ARADO WY,EL BOLSILLO WY,SB,4,11,11/09/2006
EL ARADO WY,EL BOLSILLO WY,SB,4,11,11/09/2006
CRANLEIGH AV,BRENTWICK WY,EB/WB,81,24,05/29/1996
E PACIFIC AV,SUTTERVILLE RD,NB,81,36,04/25/2019
HOLLYBROOK DR,BLUEFIELD WY,WB,81,40,12/06/1993
MILLET WY,SMILAX WY,WB,81,42,02/01/2006
32ND ST,N of LOMA VERDE,NB,81,49,03/29/2006
Princeton St,btwn  Frienza Av & El Camino Av,SB,81,52,09/11/2012
GARDENDALE RD,LOMA VERDE WY,WB,81,53,01/26/2012
MIRAMONTE DR,SAN JUAN RD,NB,81,55,04/06/2005
RANCHO SILVA DR,SAN JUAN RD,NB/SB,81,57,06/09/1997
LELANDHAvN WY,SEASTONE WY,SB,81,60,03/24/1994
NORTHBOROUGH DR,MACON DR,SB,81,65,09/25/2007
61ST ST,FRUITRIDGE RD,NB/SB,81,67,03/23/1995
FUNSTON DR,URBANA WY,NB/SB,81,69,11/17/1994
WEST STOCKTON BL,COTTON LN,NB,81,74,03/18/2010
PARK RIVIERA WY,Btwn HARMON DR & DRIFTWOOD ST,NB,81,74,07/23/2013
14TH ST,BROADWAY,SB,81,77,02/20/2008
HAGGIN AV,AMERICAN AV,EB/WB,81,83,11/06/2001
CANTERBURY RD,BLACKWOOD ST,NB/SB,81,84,02/03/1992
U ST,11TH ST,EB/WB,81,84,09/08/2005
BOXWOOD ST,EL CAMINO AV,SB,81,85,09/07/2000
V ST,19TH ST,EB,81,85,11/30/2005
MEAD AV,SUTTERVILLE RD,NB,81,88,10/15/2002
13TH AV,18TH ST,NB,81,89,02/08/2001
18TH ST,13TH AV,NB,81,89,02/08/2001
BRADFORD DR-77TH ST,MARIN AV,NB,81,91,08/06/2002
28TH ST,I ST,SB,81,92,12/01/1992
R ST,12TH ST,EB/WB,81,94,08/07/1998
32ND AV,JAMES WY,EB/WB,81,95,06/29/1992
SOUTH AV,JASMINE ST,EB/WB,81,100,04/05/1993
28th St,Btwn B St and Sutter Landing Park,NB/SB,81,103,01/16/2013
LOS ROBLES BL,HIGH ST,EB/WB,81,106,03/04/2003
ASTORIA ST,ROANOKE AV,NB/SB,81,108,04/07/1998
CORPORATE WY,GREENHAVEN DR,SB,81,108,04/07/1998
28TH ST,26TH AV,NB/SB,81,110,12/05/1995
24TH ST,CAPITOL AV,NB,81,111,09/20/2011
SOUTH AV,TAYLOR ST,WB,81,113,07/21/1994
2ND AV,ALHAMBRA BL,WB,81,115,06/02/2010
VALLEY GREEN DR,YVETTE WY,NB/SB,81,117,03/01/2001
C ST,19TH ST,WB,81,123,11/30/2005
51ST ST,DOVER AV,NB,81,124,10/03/1994
ALPINE AV,POWER INN RD,WB,81,125,06/10/2009
JESSIE AV,ENGLEWOOD ST,WB,81,125,07/14/2009
ASTORIA ST,GRAND AV,NB,81,129,03/15/2006
36TH WY,SAN ANTONIO WY,EB/WB,81,129,12/05/2013
21ST AV,36TH ST,WB,81,135,09/27/2005
20TH ST,D ST,NB/SB,81,138,11/02/1999
ASTORIA ST,ROANOKE AV,NB,81,140,01/10/2019
F ST,19TH ST,WB,81,153,06/08/2006
GLORIA DR,Btwn 43RD AV & 35TH AV,NB,81,157,10/24/2013
BENNINGTON WY,LYCOMING CT,NB/SB,81,159,10/10/2002
SOUTH LAND PARK DR,PLEASANT DR,WB,81,160,05/12/2015
25TH ST,N ST,NB/SB,81,171,12/01/1998
S ST,24TH ST,EB,81,173,12/07/2005
AUBURN BL,CONNIE DR,EB/WB,81,344,04/28/1994
ROLLINGBROOK CR,PEBBLEWOOD DR,WB,4,7,03/06/2007
EICHLER ST,47TH AV,SB,2,9,05/19/2009
CREST DR,NORTH BEND DR,EB,80,36,12/17/2003
ROSIN CT,NORTHGATE BL,EB,80,57,05/17/2018
13TH ST,N ST,SB,80,58,01/18/2006
NORTHBOROUGH DR,DUNLAY DR,NB,80,61,06/16/2005
MAHOGANY ST,ROANOKE AV,NB/SB,80,66,03/15/2006
35TH ST,Y ST,SB,80,68,09/11/2001
6TH ST,T ST,NB,80,70,03/18/2003
6TH ST,T ST,EB,80,71,12/14/2008
21ST ST,BERNARD WY,SB,80,74,02/10/1993
28TH ST,S ST,NB,80,75,11/30/2005
MATSON DR,21ST ST,WB,80,80,03/04/2003
SAN JOAQUIN ST,65TH ST,WB,80,83,02/23/2005
LEXINGTON ST,GLENROSE AV,WB,80,83,10/01/2015
32ND ST,CASITA WY,NB/SB,80,84,03/20/1998
5TH ST,RAILYARDS BL,SB,80,85,11/29/2016
GARDEN HY,EL CENTRO RD,EB/WB,80,86,01/15/1998
MACON DR,MAYBROOK DR,EB/WB,80,86,01/24/2008
CLAUDIA DR,RICKEY DR,WB,80,87,12/13/2001
Y ST,36TH ST,EB,80,90,08/17/1993
VALLEJO WY,FREEPORT BL,WB,80,92,05/13/2008
13TH ST,Q ST,NB,80,93,01/03/1994
17TH ST,P ST,NB,80,98,02/05/2008
2ND AV,33RD ST,EB,80,99,02/10/1994
SOUTH AV,PINELL ST,EB/WB,80,99,03/09/2006
WEST ELKHORN BL,SR-99 SB ON RAMP,EB,80,99,03/10/2015
18TH ST,S ST,SB,80,99,05/30/2018
INNOVATOR DR,ENDEAVOR WY,NB,80,100,07/10/2007
EL MONTE AV,COLFAX ST,EB/WB,80,102,10/13/1992
8TH AV,SANTA CRUZ WY,EB,80,102,11/19/1997
MABRY DR,BURBERRY WY,EB/WB,80,102,01/15/2014
20TH ST,K ST,NB,80,103,09/20/2011
58TH ST,25TH AV,NB,80,105,08/11/1993
LELANDHAvN WY,RIVERSIDE BL,NB/SB,80,106,01/12/1999
MC LAREN AV,35TH AV,NB/SB,80,109,11/16/1999
O ST,22ND ST,EB/WB,80,113,08/20/1998
FOWLER AV,STOCKTON BL,EB/WB,80,113,05/25/2004
HOGAN DR,MIDDLECOFF WY,EB/WB,80,118,11/17/1993
YOUNG ST,NINA WY,EB/WB,80,118,10/09/2003
ALBATROSS WY,EL CAMINO AV,NB,80,122,02/24/2015
2ND AV,18TH ST,WB,80,128,05/13/2008
2ND AV,48TH ST,SB,80,131,08/04/2004
48TH ST,P ST,NB,80,136,02/23/2011
L ST,24TH ST,NB,80,140,09/04/2003
E ST,19TH ST,EB,80,141,10/06/2009
MANORSIDE DR,MEADOWVIEW RD,SB,80,145,01/31/2007
CALLISTER AV,CARLSON DR,EB/WB,80,148,09/05/2002
FORD RD,NORWOOD AV,EB/WB,80,149,08/17/2004
CARLSON DR,CALEB AV,NB/SB,80,153,05/07/1996
ARGO WY,FRUITRIDGE RD,NB/SB,80,154,01/23/2002
28TH ST,F ST,NB,80,163,11/15/2016
18TH AV,21ST ST,EB/WB,80,173,02/05/2002
25TH ST,O ST,NB,80,174,10/14/1993
JACINTO AV,BRUCEVILLE RD,WB,80,188,10/31/1997
SLOBE AV,CANTERBURY RD,EB,80,245,03/21/2018
POINSETTIA CT,GRACE VA,SB,4,11,11/14/2006
B ST,,EB,79,26,10/02/2018
23RD ST,KNIGHT WY,NB/SB,79,35,02/14/2006
WINDSONG ST,WINDCATCHER CT,NB/SB,79,37,03/16/2017
BAMFORD DR,SUMMERVIEW WY,EB,79,39,06/14/2016
SMOKE RIVER WY,GREENHAVEN DR,WB,79,41,02/15/2007
D ST,10TH ST,WB,79,41,09/10/2008
7TH ST,CHILL AV,NB,79,41,10/25/2016
V ST,34TH ST,EB,79,44,02/17/2015
LEMITAR WY,CLOUDVIEW DR,SB,79,46,02/04/1993
LAMPASAS AV,GROVE AV,WB,79,47,02/08/2006
14th AV,east of Power Inn Rd,EB,79,51,09/04/2013
FAIRWEATHER DR,WEST EL CAMINO AV,SB,79,52,06/05/1996
34TH AV,59TH ST,NB,79,57,01/22/2003
11TH AV,RIVERSIDE BL,EB,79,57,03/04/2003
MINDEN WY,BANFIELD DR,EB,79,57,03/05/2008
BANFIELD DR,ANTON WY,SB,79,64,03/05/2008
12TH ST,U ST,NB,79,65,09/08/2005
25TH AV,73RD ST,EB/WB,79,69,02/06/1995
14TH ST,MUNGER WY,SB,79,69,09/10/2009
13th ST,north of San Clemente Wy,NB,79,69,10/23/2013
23RD ST,ARLISS WY,NB/SB,79,71,10/20/1999
JANSEN DR,59TH ST,WB,79,72,05/15/2019
MC KINLEY BL,MEISTER WY,SB,79,73,01/31/2017
14TH AV,82ND ST,EB,79,76,04/18/2001
35TH ST,Btwn 5TH AV & 4TH AV,SB,79,76,09/05/2012
77TH ST,18TH AV,NB/SB,79,82,09/01/2005
2ND AV,RIVERSIDE BL,WB,79,82,12/17/2019
C ST,51ST AV,EB/WB,79,83,01/31/2006
2ND AV,32ND ST,EB,79,83,06/02/2010
2ND AV,58TH ST,EB/WB,79,85,01/25/2005
54TH ST,J ST,NB/SB,79,87,03/27/2001
17TH ST,N ST,NB,79,88,05/01/1995
13th ST,north of San Clemente Wy,NB/SB,79,88,10/23/2013
48TH ST,H ST,NB/SB,79,91,06/02/1993
M ST,45TH ST,WB,79,92,01/28/2016
HONOR Pk,5739 HONOR PKWY,NB,79,95,10/21/2009
SAN DIEGO WY,BROADWAY,NB/SB,79,97,05/25/1993
SONOMA AV,CLAY ST,EB/WB,79,97,12/02/2009
MC LAREN AV,LONDON ST,NB/SB,79,99,06/02/1999
2ND ST,K ST,SB,79,101,01/09/2019
OXFORD ST,DEL PASO BL,SB,79,102,10/20/1994
45TH ST,Btwn D ST & SPD HMP TO SOUTH,NB/SB,79,105,02/14/2013
60TH ST,14TH AV,NB/SB,79,109,11/15/1994
36TH ST,J ST,NB,79,116,10/29/2002
BOWLING GREEN DR,RAY ST,EB/WB,79,122,12/15/1993
SONOMA AV,MARYSVILLE BL,EB,79,125,03/11/2003
South Av,Branch St & May St,EB,79,126,08/01/2012
2ND AV,18TH ST,WB,79,132,06/12/2007
E ST,22ND ST,EB,79,141,01/29/2014
C ST,Btwn 21ST ST & 22ND ST,EB,79,147,07/24/2013
16TH AV,SUMAC LN,EB/WB,79,166,08/19/2003
24TH ST,W ST,SB,79,180,06/28/2016
2ND AV,ALHAMBRA BL,SB,79,201,02/28/2001
WEST PACIFIC AV ALY,SUTTERVILLE RD,NB/SB,4,17,05/31/2015
WEST ENTRANCE RD,E COMMERCE WY,WB,78,15,03/06/2018
3200 B  ST,,EB,78,23,10/02/2018
NATOMAS CROSSING DR,BILSTED WY,EB,78,53,08/11/2009
E CURTIS DR,SUTTERVILLE RD,NB,78,55,09/16/2008
ORENZA WY,ALCALA CT,NB/SB,78,59,05/28/1998
33RD ST,J ST,NB,78,59,01/08/2015
MANORSIDE DR,MONARCH AV,NB,78,60,05/13/2009
8TH AV,61ST ST,EB/WB,78,67,01/19/2005
VANDERBILT WY,ELMHURST CR,EB/WB,78,67,01/24/2006
DEER CREEK DR,BLACKFORD WY,NB/SB,78,70,08/27/2003
LAND PARK DR,11TH AV,WB,78,70,05/12/2015
14TH ST,43RD AV,NB,78,75,06/17/1992
SOTANO DR,NORTHGATE BL,EB,78,75,04/12/2007
BRANCH ST,LAS PALMAS AV,NB/SB,78,75,12/02/2009
AMHERST ST,CELEBRITY ST,WB,78,75,06/27/2006
2ND AV,ALHAMBRA BL,EB,78,78,06/02/2010
E ST,12TH ST,WB,78,81,09/10/2008
T ST,3RD ST,EB/WB,78,83,06/28/1993
55TH ST,14TH AV,NB/SB,78,83,08/04/2015
VALLEY GREEN DR,GOLDEN FIELD WY,EB/WB,78,84,06/06/1996
O ST,19TH ST,WB,78,85,12/07/2004
11TH AV,FREEPORT BL,EB/WB,78,85,09/15/2005
O ST,19TH ST,WB,78,85,10/08/2009
MABRY DR,BRAMPTON WY,EB,78,85,08/10/2010
C ST,28TH ST,WB,78,86,07/14/1993
MILLCREEK DR,WEST EL CAMINO AV,NB,78,89,04/09/1998
DEL PASO BL,NORTHGATE BL,NB/SB,78,89,08/20/2003
35TH ST,2ND AV,SB,78,90,09/11/2001
CARELLA DR,PUTNAM WY,EB/WB,78,91,08/30/1993
D ST,18TH ST,EB,78,91,10/20/2016
33RD ST,4TH AV,NB/SB,78,94,06/02/2010
45TH AV,F ST,NB/SB,78,96,01/31/2006
45TH ST,D ST,NB/SB,78,97,11/25/2003
K ST,22ND ST,SB,78,98,08/06/2002
79TH ST,FRUITRIDGE RD,NB/SB,78,100,02/26/1996
CONNIE DR,EL CAMINO AV,NB/SB,78,100,12/09/1998
PINELL ST,GRAND AV,NB/SB,78,100,03/14/2006
6TH ST,I ST,SB,78,101,11/05/1992
14TH ST,K ST,NB/SB,78,101,07/01/1999
HELEN WY,STOVER WY,NB/SB,78,104,01/11/2006
27TH ST,47TH AV,NB,78,104,04/17/2007
BRADFORD DR,FRUITRIDGE RD,SB,78,105,09/07/2000
55TH ST,FRUITRIDGE RD,NB/SB,78,107,02/08/1995
26TH ST,J ST,SB,78,108,01/23/1996
RANCHO PICO WY,RANCHO ADOBE DR,EB/WB,78,115,03/08/1994
H ST,19TH ST,WB,78,121,10/07/2009
BRIDGECROSS DR,SAGEVIEW DR,EB,78,123,04/08/2008
NEW MARKET DR,KOKOMO DR,WB,78,127,11/12/2008
17TH ST,F ST,NB/SB,78,128,09/29/1998
12TH ST,C ST,NB/SB,78,134,01/31/2001
AMHERST ST,68TH AV,SB,78,134,01/31/2001
MUIR WY,VALLEJO WY,SB,78,134,05/13/1998
DEL PASO RD,WYNDVIEW WY,EB,78,138,06/23/2015
33RD ST,M ST,NB/SB,78,145,12/21/1998
MCKINLEY BL,40TH ST,EB,78,148,11/08/2006
21ST ST,MARKHAM WY,SB,78,158,05/13/2008
KOKOMO DR,NEW MARKET DR,NB,78,195,11/12/2008
CAPITOL AV,18TH ST,EB,78,196,07/12/2007
24TH ST,7TH AV,SB,78,251,09/16/2008
SORENTO RD,DEL PASO BL,NB/SB,78,276,03/04/1999
52ND AV,24TH ST,WB,77,22,06/25/1992
BARANDAS DR,MAPLE WY,EB,77,36,08/27/2002
EL MONTE AV,BARSTOW ST,WB,77,36,04/06/2011
WEST SHORE DR,LAKE FRONT DR,SB,77,48,03/01/1994
VALLEY GREEN DR,VALLEY HI DR,NB,77,52,06/30/1992
GRACE AV,NORWOOD AV,WB,77,53,11/14/2006
MIDDLEBERRY RD,JAMESTOWN DR,NB/SB,77,54,11/23/1999
MAIN AV,MARYSVILLE BL,EB/WB,77,58,09/07/2005
LITTLE RIVER WY,POCKET RD,WB,77,59,04/22/2003
61ST ST,M ST,NB/SB,77,59,10/25/2005
TAMOSHANTER WY,MUIRFIELD WY,NB/SB,77,62,08/10/1998
52ND AV,FOLSOM BL,SB,77,65,03/26/2003
35TH AV,RIVERSIDE BL,WB,77,69,04/24/2019
53RD AV,RANCHO PLAZA DR,EB,77,71,01/21/2009
R ST,30TH ST,WB,77,71,01/27/2016
40TH ST,8TH AV,NB/SB,77,72,05/09/1996
ALCEDO CR,WINNETT WY,EB/WB,77,73,12/05/1991
24TH ST,CASA LINDA DR,WB,77,73,09/07/2016
6TH ST,X ST,NB,77,74,02/24/1994
ATHENA AV,ERIN DR,SB,77,74,06/17/2003
AUBURN BL,HOWE AV,WB,77,74,05/15/2019
BELL AV,TAYLOR ST,NB,77,75,04/09/2002
32ND ST,M ST,NB/SB,77,75,11/08/2005
18TH ST,L ST,SB,77,76,10/11/1994
21ST ST,O ST,WB,77,76,04/08/2009
HELENA AV,TAFT ST,EB/WB,77,77,06/17/1993
COLFAX ST,EL CAMINO AV,SB,77,81,05/08/1995
SANDBURG DR,MESSINA DR,NB/SB,77,82,04/04/2017
BRIGGS DR,SUMO CT,NB/SB,77,83,09/11/1997
EAST CURTIS DR,COLEMAN WY,NB/SB,77,83,11/04/2004
23RD ST,L ST,NB,77,84,12/19/1994
YORKSHIRE RD,ROYALE RD,EB/WB,77,86,11/13/1997
50TH ST,F ST,NB/SB,77,86,04/29/2009
EL CAMINO AV,EMPRESS ST,NB,77,87,04/05/2016
D ST,19TH ST,EB,77,89,10/22/2016
JACINTO RD,BRUCEVILLE RD,EB,77,93,09/07/2005
ALBATROSS WY,EL CAMINO AV,NB,77,94,05/24/2017
D ST,19TH ST,WB,77,97,10/07/2014
D ST,19TH ST,EB/WB,77,97,10/07/2014
Pell Dr,"Btwn 1,490 ft N/o Pell Circle Noth Leg",NB,77,97,11/01/2012
28TH ST,E ST,NB/SB,77,98,11/03/1992
18TH AV,78TH ST,EB/WB,77,98,08/23/2005
17TH ST,P ST,NB/SB,77,102,09/29/1998
10TH AV,FREEPORT BL,WB,77,103,08/15/2000
71TH ST,ALCOTT DR,NB/SB,77,110,06/17/1997
REDDING AV,Q ST,SB,77,110,03/15/2016
AMERICAN AV,CLEVELAND AV,NB/SB,77,112,05/19/2011
4TH AV,FRANKLIN BL,EB/WB,77,114,08/27/1997
12TH AV,RIVERSIDE BL,EB/WB,77,115,03/31/2005
34TH ST,12TH AV,NB/SB,77,118,09/21/2005
MIRAMONTE DR,SAN JUAN RD,NB/SB,77,121,07/20/2004
13TH ST,56TH AV,SB,77,122,04/28/1993
SPILMAN AV,CARLSON DR,EB/WB,77,125,09/07/2002
23RD ST,H ST,NB/SB,77,127,11/02/1998
CLAY ST,GLENROSE AV,SB,77,130,05/19/1994
DIXIEANNE AV,OAKMONT ST,WB,77,130,10/08/2002
D ST,39TH ST,EB,77,133,09/13/2011
NORTHGATE BL,PATIO AV,WB,77,153,05/03/2005
BRIDGEFORD DR,MILLET WY,NB,77,165,02/01/2006
F ST,19TH ST,EB,77,174,10/06/2009
SOUTHGATE RD,CANTERBURY RD,EB,77,176,11/19/2009
BREWERTON DR,GLEN ARVEN DR,EB/WB,77,192,07/15/1993
SOUTH OAK WY,GRAND RIVER DR,NB,4,9,02/15/2007
ARNOLD GAMBLE CR,Btwn HONOR PKWY & END,WB,3,5,09/05/2012
SHOREBIRD DR,SHOREBIRD CT,NB,76,29,02/03/2009
61ST ST,BROADWAY,NB,76,35,12/06/2006
5TH ST,L ST,SB,76,37,11/14/2018
LITTLE RIVER WY,SEAL ROCK WY,EB,76,40,01/25/2007
CAMP VERDE WY,COUGAR DR,NB,76,45,01/21/2009
W PACIFIC AV,SUTTERVILLE RD,NB,76,48,01/15/2008
KERN ST,SOUTH AV,NB,76,49,02/27/1995
BRIGHTON AV,ROMONA AV,EB/WB,76,51,07/09/1997
36TH ST,2ND AV,NB,76,54,09/11/2001
13th ST,Btwn Fay Cir (N) and speed lump,NB,76,54,10/23/2013
RIVERSIDE BL,VOLZ DR,WB,76,56,10/18/2018
36TH ST,Y ST,NB,76,57,09/11/2001
NORTHGATE BL,JEFFERSON AV,EB,76,57,09/14/2017
27TH ST,O ST,SB,76,58,12/15/1992
53RD ST,U ST,NB/SB,76,61,07/06/1994
SOUTHGATE RD,DEL PASO BL,EB,76,64,06/20/2017
5TH AV,17TH ST,EB/WB,76,67,03/26/2003
38TH ST,H ST,NB/SB,76,68,08/19/1999
COLONIAL WY,STOCKTON BL,EB/WB,76,75,11/24/1992
COLFAX ST,EL CAMINO AV,NB,76,75,05/08/1995
DANBROOK DR,NANTUCKET WY,WB,76,75,02/26/2009
NORBERT WY,NORCROSS DR,SB,76,80,10/25/1993
KERN ST,ROANOKE AV,NB,76,80,09/07/2005
13th ST,Btwn Fay Cir (N) and speed lump,NB/SB,76,80,10/23/2013
24TH ST,J ST,NB,76,82,01/10/2001
PINELL ST,ROANOKE AV,NB/SB,76,83,03/09/2006
EL MONTE AV,BARSTOW ST,EB,76,83,02/27/2008
75TH ST,51ST AV,NB,76,83,01/21/2009
OXFORD ST,ARDEN WY,NB/SB,76,84,03/02/1999
E ST,COLOMA WY,NB,76,84,01/31/2006
EDISON AV,JULIESSE AV,SB,76,87,06/02/2010
ARROYO VISTA DR,BETHANY CT,NB/SB,76,89,06/11/2003
13TH ST,58TH AV,NB,76,89,04/19/2012
BOWLING GREEN DR,YORKSHIRE RD,EB/WB,76,94,11/23/1999
G ST,11TH St,NB,76,94,01/26/2005
24TH ST,J ST,SB,76,98,02/23/1995
2ND AV,33RD ST,WB,76,104,02/10/1994
UNIVERSITY AV,AMERICAN RIVER DR,NB,76,109,04/21/2009
MACARTHUR ST,CALHOUN CT,WB,76,112,09/12/1994
22ND ST,CAPITOL AV,NB/SB,76,115,11/04/1998
33RD ST,5TH AV,NB/SB,76,115,06/02/2010
19TH AV,38TH ST,EB/WB,76,117,02/09/1994
58TH ST,Btwn BROADWAY & 8TH AV,SB,76,159,05/22/2013
SHEPARD AV,CARLSON DR,EB/WB,76,183,09/05/2002
RIVERLAKE WY,LELANDHAVEN WY,EB,75,7,06/14/2011
CULPEPPER DR,HAMBURG WY,NB,75,43,05/11/2005
WESTLAKE PK,SAVOIE WY,WB,75,43,03/28/2007
Y ST,Btwn SAN JOSE WY & STOCKTON BL,WB,75,44,01/22/2013
62ND ST,15TH AV,NB,75,45,01/25/1995
BARANDAS DR,DELPHINIUM WY,NB,75,45,06/18/2014
2ND AV,34TH ST,EB,75,45,04/05/2016
CANDLEWOOD WY,AMHERST ST,SB,75,50,03/20/2012
MARSHALL AV,4TH AV,EB/WB,75,52,05/15/1997
35TH ST,H ST,NB/SB,75,56,01/24/2006
MASTERS ST,LAGUNA VEGA DR,EB,75,57,09/07/2006
MONTVIEW WY,PARODY WY,NB/SB,75,64,09/13/2005
27TH ST,D ST,NB/SB,75,66,11/19/1998
NEW HAMPSHIRE WY,BANFIELD DR,WB,75,67,11/14/2000
18TH AV,FREEPORT BL,EB/WB,75,68,05/09/2000
SONOMA AV,MARYSVILLE BL,WB,75,68,03/11/2003
NORTH BEND DR,GATEWAY PARK BL,WB,75,70,01/30/2001
23RD ST,STAGGS WY,EB/WB,75,73,10/10/2000
MEADOWGATE DR,SHINING STAR DR,NB,75,73,06/14/2012
24TH ST,53RD AV,EB,75,74,04/01/2009
ETHAN WY,HURLEY WY,NB,75,77,08/11/1992
VENTURA ST,ENCINAL AV,NB/SB,75,78,09/13/2005
8TH Av,Btwn MARTIN LUTHER KING BL & STOCKTON BL,WB,75,78,01/22/2013
HONOR PKWY,MIKE GARTRELL CR (N),SB,75,81,10/21/2009
13th St,northbound approach to 58th Av,NB,75,82,07/31/2012
RIVER RANCH WY,ROMAN OAK WY,EB/WB,75,83,03/02/2005
BRADBURN DR,Btwn BANFIELD DR & NOTOMAS BL,EB/WB,75,83,01/29/2013
47TH ST,H ST,NB/SB,75,84,06/02/1993
VANDENBERG DR,EMERSON RD,EB/WB,75,85,11/30/1994
FRONT ST,BROADWAY,SB,75,85,04/26/1997
26TH ST,P ST,NB,75,86,06/28/2016
D ST,41ST ST,EB,75,87,04/21/2009
CAMELLIA AV,SANDBURG DR,NB,75,87,10/25/2016
PEBBLESTONE WY,STONECREEK DR,EB/WB,75,88,05/21/1998
MUNROE ST,LATHAM DR,WB,75,88,04/07/2016
45TH ST,F ST,NB/SB,75,89,03/03/2004
SPARROW DR,CHATEAU MONTELENA WY,NB/SB,75,89,05/30/2018
10TH ST,I ST,SB,75,90,02/05/2019
O ST,19TH ST,WB,75,91,01/10/2006
CLUB CENTER DR,DANBROOK DR,EB,75,91,06/05/2007
12TH AV,43RD ST,EB/WB,75,92,10/10/1994
28TH ST,B ST,SB,75,92,08/09/2006
F ST,20TH ST,WB,75,95,02/20/2020
25TH ST,P ST,NB/SB,75,96,11/12/1998
24TH ST,CASA LINDA DR,EB,75,99,09/07/2016
FREEPORT BL,POTRERO WY,NB,75,100,10/08/2002
H ST,13TH ST,SB,75,100,10/08/2002
K ST,20TH ST,SB,75,101,06/25/2002
O ST,19TH ST,WB,75,105,02/01/2006
GRANGER AV,TAYLOR ST,EB/WB,75,108,03/07/2000
CLAUDIA DR,FREEPORT BL,EB,75,110,01/15/2004
NATOMAS CROSSING DR,MOONRISE CR,WB,75,110,02/26/2009
28TH ST,Btwn 34TH AV & FRUITRIDGE RD,SB,75,113,03/13/2013
Y ST,34TH ST,WB,75,115,10/02/1997
22ND ST,E ST,NB/SB,75,115,11/03/1998
K ST,23RD ST,SB,75,115,09/16/2003
F ST,20TH ST,WB,75,126,12/05/2006
R ST,14TH ST,EB,75,127,08/18/2016
REGENCY PARK CR,Btwn CLUB CENTER DR & BRIDGECROSS DR,NB,75,142,09/11/2013
MABRY DR,CATHERWOOD WY,WB,75,168,08/10/2010
24TH ST,5TH AV,SB,75,263,09/16/2008
RED DEER WY,DEER CREEK DR,EB,75,274,02/25/2003
16TH ST,F ST,EB,75,281,05/13/2015
NEAL RD,DRY CREEK RD,EB/WB,74,23,10/15/1998
ISHI CR,SAN JUAN RD (W LEG),NB/SB,74,33,03/02/2000
MAY ST,BELL AV,NB,74,38,08/28/2018
EL MONTE AV,BARSTOW ST,WB,74,40,02/27/2008
BEECHNUT WY,,EB/WB,74,42,01/17/2002
DANBROOK DR,DYNASTY WY,NB,74,42,06/16/2005
47TH AV,OAKRIDGE WY,EB/WB,74,51,12/14/1999
BANFIELD DR,CLUB CENTER DR,SB,74,53,07/27/2004
MYOTIS DR,MUTTONBIRD WY,EB,74,53,10/18/2005
NATOMAS CROSSING DR,BILSTED WY,WB,74,53,07/10/2007
MAYBROOK DR,Btwn MABRY DR & CLUB CENTER DR,SB,74,53,01/29/2013
HOOKE WY,IRVIN WY,NB/SB,74,55,12/14/1994
BANFIELD DR,NEW HAMPSHIRE WY,NB,74,56,03/05/2008
C St,from 11th St to 12th St,EB/WB,74,57,09/18/2012
11TH AV,17TH ST,WB,74,63,04/04/1995
LINDSAY AV,VERN ST,EB,74,63,01/07/1999
ARROYO VISTA DR,CENTER PKWY,WB,74,63,03/21/2012
VALLEJO WY,MUIR WY,WB,74,71,05/01/1997
LOMA VERDE WY,FLORES WY,NB,74,71,09/18/1997
BLACKROCK DR,IRONGATE WY,WB,74,72,10/27/2004
JOHN STILL DR,CALDONIA WY,EB,74,73,05/28/2008
35TH ST,5TH AV,NB,74,73,06/01/2010
GILGUNN WY,FRUITRIDGE RD,NB/SB,74,75,08/14/1996
VALLEJO WY,RIVERSIDE BL,WB,74,75,05/01/1997
38TH AV,MC LAREN AV,EB/WB,74,75,06/02/1999
AUSTIN ST,LAUDERDALE CT,SB,74,77,12/21/1994
BRADBURN DR,BANFIELD DR,EB/WB,74,78,03/20/2012
50TH AV,HOGAN DR,EB/WB,74,78,04/25/2019
